(0.7517744688,1.1553234064)
(0.4682255312,0.3046765936)
(0.5899835519,0.3375)
(0.2100164481,0.3375)
(0.4498013744,0.5937003436)
(0.264904508,0.547476127)
(0.7331046252,0.6013722491)
(0.60203051,1.3878169401)
(0.45,0.5936491673)
(0.45,0.2063508327)
(0.45,0.5936491673)
(0.45,0.2063508327)
(0.4239087121,0.6673609848)
(0.4020912879,0.5146390152)
(0.5624780671,0.2833771991)
(0.4041885995,0.5999561343)
(0.8993339549,0.7742007458)
(0.5154201435,0.3135041722)
(0.8993339549,0.7742007458)
(0.5154201435,0.3135041722)

15
